# y+ ()       
# Time        	patch         	min           	max           	average       
0.22          	sides	9.715882e+00	3.006540e+01	2.207528e+01
0.23          	splitter	3.346396e+01	5.761291e+01	3.765887e+01
0.23          	back	1.129894e+01	1.622426e+01	1.260372e+01
0.23          	sides	9.716007e+00	3.014990e+01	2.205155e+01
0.24          	splitter	3.346067e+01	5.759023e+01	3.765997e+01
0.24          	back	1.150273e+01	1.713517e+01	1.322342e+01
0.24          	sides	9.716123e+00	2.974567e+01	2.203613e+01
0.25          	splitter	3.347419e+01	5.761636e+01	3.766298e+01
0.25          	back	1.148564e+01	1.716400e+01	1.370100e+01
0.25          	sides	9.715776e+00	2.967876e+01	2.201878e+01
0.26          	splitter	3.350552e+01	5.764040e+01	3.766688e+01
0.26          	back	1.146402e+01	1.706964e+01	1.402348e+01
0.26          	sides	9.716243e+00	2.962102e+01	2.200406e+01
0.27          	splitter	3.348336e+01	5.764097e+01	3.766657e+01
0.27          	back	1.147311e+01	1.808698e+01	1.426860e+01
0.27          	sides	9.715824e+00	2.963969e+01	2.200143e+01
0.28          	splitter	3.345723e+01	5.761906e+01	3.766275e+01
0.28          	back	1.150195e+01	1.879141e+01	1.444048e+01
0.28          	sides	9.716015e+00	3.098000e+01	2.201181e+01
0.29          	splitter	3.345572e+01	5.758879e+01	3.766091e+01
0.29          	back	1.150057e+01	1.891367e+01	1.450089e+01
0.29          	sides	9.716168e+00	3.085844e+01	2.202450e+01
0.3           	splitter	3.347344e+01	5.762286e+01	3.766306e+01
0.3           	back	1.149989e+01	1.812770e+01	1.446850e+01
0.3           	sides	9.715735e+00	3.023855e+01	2.202263e+01
0.31          	splitter	3.350687e+01	5.764413e+01	3.766625e+01
0.31          	back	1.150373e+01	1.748514e+01	1.442944e+01
0.31          	sides	9.716263e+00	2.992711e+01	2.200633e+01
0.32          	splitter	3.348035e+01	5.764118e+01	3.766547e+01
0.32          	back	1.147983e+01	1.828738e+01	1.444263e+01
0.32          	sides	9.715823e+00	2.969547e+01	2.199887e+01
0.33          	splitter	3.345550e+01	5.761772e+01	3.766190e+01
0.33          	back	1.149905e+01	1.882388e+01	1.448692e+01
0.33          	sides	9.716009e+00	3.086564e+01	2.200950e+01
0.34          	splitter	3.345559e+01	5.758960e+01	3.766042e+01
0.34          	back	1.148299e+01	1.886685e+01	1.448727e+01
0.34          	sides	9.716174e+00	3.087805e+01	2.202597e+01
0.35          	splitter	3.347388e+01	5.762331e+01	3.766277e+01
0.35          	back	1.147930e+01	1.804808e+01	1.443327e+01
0.35          	sides	9.715734e+00	3.027050e+01	2.202679e+01
0.36          	splitter	3.350740e+01	5.764393e+01	3.766602e+01
0.36          	back	1.146816e+01	1.746804e+01	1.439071e+01
0.36          	sides	9.716261e+00	2.996252e+01	2.200959e+01
0.37          	splitter	3.347972e+01	5.764076e+01	3.766530e+01
0.37          	back	1.148532e+01	1.826482e+01	1.441800e+01
0.37          	sides	9.715826e+00	2.972765e+01	2.200049e+01
0.38          	splitter	3.345536e+01	5.761726e+01	3.766183e+01
0.38          	back	1.151160e+01	1.880757e+01	1.447117e+01
0.38          	sides	9.716007e+00	3.087525e+01	2.201041e+01
0.39          	splitter	3.345573e+01	5.759004e+01	3.766045e+01
0.39          	back	1.151474e+01	1.884750e+01	1.447537e+01
0.39          	sides	9.716175e+00	3.089720e+01	2.202649e+01
0.4           	splitter	3.347425e+01	5.762365e+01	3.766283e+01
0.4           	back	1.145805e+01	1.802988e+01	1.442073e+01
0.4           	sides	9.715733e+00	3.028174e+01	2.202677e+01
0.41          	splitter	3.350781e+01	5.764405e+01	3.766606e+01
0.41          	back	1.146852e+01	1.747606e+01	1.439290e+01
0.41          	sides	9.716260e+00	2.996573e+01	2.200921e+01
0.42          	splitter	3.347938e+01	5.764059e+01	3.766529e+01
0.42          	back	1.151010e+01	1.827340e+01	1.441970e+01
0.42          	sides	9.715828e+00	2.972464e+01	2.200029e+01
0.43          	splitter	3.345520e+01	5.761691e+01	3.766180e+01
0.43          	back	1.147553e+01	1.881309e+01	1.446658e+01
0.43          	sides	9.716005e+00	3.089444e+01	2.201043e+01
0.44          	splitter	3.345585e+01	5.759046e+01	3.766046e+01
0.44          	back	1.148655e+01	1.884419e+01	1.447502e+01
0.44          	sides	9.716177e+00	3.090261e+01	2.202648e+01
0.45          	splitter	3.347459e+01	5.762400e+01	3.766288e+01
0.45          	back	1.152124e+01	1.801841e+01	1.443112e+01
0.45          	sides	9.715732e+00	3.028093e+01	2.202652e+01
0.46          	splitter	3.350821e+01	5.764417e+01	3.766608e+01
0.46          	back	1.147490e+01	1.748606e+01	1.439619e+01
0.46          	sides	9.716260e+00	2.996306e+01	2.200893e+01
0.47          	splitter	3.347904e+01	5.764042e+01	3.766526e+01
0.47          	back	1.151445e+01	1.828198e+01	1.441596e+01
0.47          	sides	9.715830e+00	2.971974e+01	2.200027e+01
0.48          	splitter	3.345505e+01	5.761655e+01	3.766176e+01
0.48          	back	1.151327e+01	1.881760e+01	1.446716e+01
0.48          	sides	9.716003e+00	3.090869e+01	2.201060e+01
0.49          	splitter	3.345598e+01	5.759086e+01	3.766047e+01
0.49          	back	1.148405e+01	1.883939e+01	1.447385e+01
0.49          	sides	9.716179e+00	3.090577e+01	2.202661e+01
0.5           	splitter	3.347493e+01	5.762434e+01	3.766293e+01
0.5           	back	1.151220e+01	1.800609e+01	1.442411e+01
0.5           	sides	9.715731e+00	3.027955e+01	2.202637e+01
